Reporting Year,Building ID,MapLot,Year Added,Annual Report Received,Report Type,Buildings Included,Parent Building ID,Assessor Address,Address Point GIS,Property Type,Primary Property Type - Self Selected,Year Built,Property GFA - Self Reported (ft2),Grantee,Co_grantee,ENERGY STAR Score,Electricity Use - Grid Purchase (kWh),Electricity Use - Grid Purchase (kBtu),Natural Gas Use (therms),Natural Gas Use (kBtu),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),Kerosene Use (kBtu),District Chilled Water Use (kBtu),District Steam Use (kBtu),Electricity Use - Generated From Onsite Renewable Systems (kWh),Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Site EUI (kBtu/ft2),Weather Normalized Site EUI (kBtu/ft2),Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Source EUI (kBtu/ft2),Weather Normalized Source EUI (kBtu/ft2),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/ft2),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft2)
2016,687-2,69-179,2015,Yes,Single,,,35 Landsdowne St,"35 Landsdowne St
Cambridge, MA
(42.361079558, -71.099240969)",Nonresidential,Laboratory,2002,202423,Massachusetts Institute Of Technology,Office Of The Treasurer,,13292557.6,45354212,759499.9741,75949997.4,,,,,,,,,,121304209.4,120544299.5,599.3,595.5,222159723,220573350.5,1097.5,1089.7,8421.9,41.6,10876.3,53.73
2016,681-12,128-68,2015,Yes,Single,,,157-175 Pleasant St,"165 Pleasant St
Cambridge, MA
(42.359278945, -71.113752916)",Residential,Multifamily Housing,2003,99000,President And Fellow Of Harvard College,C/O Harvard Real Estate Services,100,529166.9,1805517.8,10351.0012521,1035100.1,,,,,,,,,,2840618,2785743.7,28.7,28.1,6756181.1,6698563.1,68.2,67.7,229.7,2.3,3902.3,29.96
2017,356-28,166-80,2015,No,Single,,,130 Mt Auburn St,"130 Mt Auburn St
Cambridge, MA
(42.373535112, -71.123615086)",Residential,,,,"Lowe, Mary Kay",B,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,9-4,267.1-232,2015,Yes,Single,,,31 Acorn Park Dr,"100 Acorn Park Dr
Cambridge, MA
(42.397743619, -71.150607041)",Nonresidential,Office,2005,155000,"Ap Cambridge Partners, LLC Tr. Acorn",Park Holdings Realty Trust,1,11424969,38982000,15476,1547632,,,,,,,,,,40529632,40690511,262,263,124028493,124197416,800,801,3413,22,5792,37
2017,610-5,43A-16,2015,Yes,Single,,,565 Technology Sq,"400 Technology Sq
Cambridge, MA
(42.362886492, -71.091890528)",Nonresidential,Office,1967,212123,"MIT Real Estate, LLC,","C/O ARE- Tech Sq, LLC/MIT Real Estate Ll",1,12568433,42883500,250775,25077453,,,,,,,,,,67960953,68531672,320,323,160985516,161181032,759,760,4996,24,9854,46
2016,411-26,80-165,2015,Yes,Child,"411-9, 392-23, 392-22, 392-21, 392-20, 392-19, 392-8, 411-8, 392-17, 411-7, 392-16, 411-6, 411-5, 398-13, 411-4, 411-3, 411-29, 411-28, 411-27, 411-26, 411-25, 411-24, 411-23, 411-22, 411-21, 411-20, 411-19, 411-18, 411-14, 411-13, 411-11, 411-10, 411-1, 392-9, 392-8, 392-4",,427 Windsor Street,"1 Citizens Pl
Cambridge, MA
(42.371629658, -71.095065046)",Residential,Multifamily Housing,2014,51344,"Harwell Homes, Inc.",C/O Meredith Ma Corp,62,250558.7,854906.4,38365.99781,3836599.8,,,,,,,,,,4691506.2,4611172,91.4,89.8,6712835.9,6598501,130.7,128.5,286.5,5.6,2454.4,
2018,106-7,203B-66,2015,Yes,Child,"106-6, 106-65, 106-5, 106-66, 106-67, 106-16, 106-68, 106-4, 106-69, 106-70, 106-14, 106-63, 106-7, 106-64",,102 Sherman St,"19 Walden Square Rd
Cambridge, MA",Multifamily Housing,Multifamily Housing,1974,156003,Wsq Limited Partnership,C/O Winn Residential,64,960814.8,3278300.5,143786.0911,14378609.1,,,,,,,,,,17656909.6,17952768.6,113.2,17952768.6,25391403.1,25702055,162.8,25702055,1256.2,8.1,13840.8,88.72
2017,355-2,168-60,2015,Yes,Parent,"355-2, 355-3",,4-12 Story St,"46 Brattle St
Cambridge, MA
(42.373966324, -71.121591794)",Nonresidential,Office,1970,61666,President And Fellows Of Harvard College,1350 Massachusetts Ave.,92,527164,1798685,18633,1863255,,,,,,,,,,3661940,3795930,59,62,7604289,7695565,123,125,253,4,884,14
2016,245-2,257-47,2015,Yes,Child,"245-11, 245-16, 245-2, 245-26, 245-27, 245-28, 245-29, 245-3, 245-30, 245-31, 245-32, 245-33, 245-34, 245-35, 245-36, 245-37, 245-38, 245-39, 245-4, 245-40, 245-41, 245-42, 245-43, 245-44, 245-45, 245-46, 245-47, 245-48, 245-5, 245-50, 245-51, 245-52, 245-53, 245-54, 245-55, 245-56, 245-57, 245-58, 245-59, 245-6, 245-60, 245-61, 245-62, 245-63, 245-64, 245-65, 245-66, 245-8, 245-9",,676-694 Huron Ave,"15 Fresh Pond Pl
Cambridge, MA
(42.379989729, -71.153212821)",Residential,Multifamily Housing,1979,57875,"Gamble, Lincoln Bradley",Trustees of Condominium Assn.,100,87532,298659.4,4420.745982,442074.6,,,,,,,,,,740734,739664.1,12.8,12.8,1401968.7,1400392.5,24.2,24.2,52.4,0.9,87.5,
2018,68-43,195-169,2015,No,Single,,,120-124 Rindge Ave,"45 Yerxa Rd
Cambridge, MA",,,,,"Bos Apt 1., Llc",,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,318-9,159-1,2015,Yes,Child,"318-10, 318-9, 318-1",,1341 Massachusetts Ave,"22 Harvard Yard
Cambridge, MA
(42.374586009, -71.118650496)",Nonresidential,Residence Hall/Dormitory,1974,44776,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,520195,1774904,5074,507414,,,,,,,,4404964,,6687282,,149,,11405336,,255,,471,11,5024,112
2017,750-7,63-118,2015,Yes,Single,,,600 Memorial Dr,"600 Memorial Dr
Cambridge, MA
(42.353474487, -71.106623445)",Nonresidential,College/University,1925,82481,Massachusetts Institute Of Technology,,,1451164,4951372,24382,2438200,,,,,,,,,,7389573,,90,,18107420,,220,,553,7,1208,15
2016,614-8,29-34,2015,Yes,Single,,,303 Third St,"285 Third St
Cambridge, MA
(42.365455223, -71.082613299)",Residential,Multifamily Housing,2008,322673,303 Third Spe LLC,C/O Eqr-R.E. Tax Department,89,2110461.6,7200896,117610.99764,11761099.8,,,,,13800,,,,,18975795.7,,58.8,,34973906,,108.4,,1322.4,4.1,11521.2,
2017,267-17,255-100,2015,Yes,Child,"267-10, 267-13, 267-12, 267-56, 267-50, 267-44, 267-32, 267-37, 267-35, 267-30, 267-28, 267-27, 267-24, 267-17, 267-16, 267-14, 267-31, 267-21, 267-43, 267-34, 267-18, 267-19, 267-19, 267-15, 267-10",,18 Cushing Court,"15-1 Corcoran Ln
Cambridge, MA
(42.376362485, -71.153467994)",Nonresidential,Multifamily Housing,1953,200633,Cambridge Housing Authority,,67,700848,2391293,146876,14687600,,,,,,,,,,17078894,18057847,85,90,22930642,23958543,114,119,984,5,16341,81
2018,266-13,157-69,2015,Yes,Single,,,11-19 Oxford St,"3 Oxford St
Cambridge, MA",College/University,College/University,1914,63661,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,380795.3,1299273.8,53.57143,5357.1,,,,,,,1486589,2172668.4,,4963888.4,5018284,78,5018284,8185743.2,8274520.8,128.6,8274520.8,322.5,5.1,482,7.57
2016,747-5,62-34,2015,Yes,Single,,,560 Memorial Dr,"15 Audrey St
Cambridge, MA
(42.354032813, -71.103688687)",Nonresidential,College/University,1963,13983,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,566-2,10-16,2015,Yes,Single,,,150 Second St,"150 Second St
Cambridge, MA",Office,Office,2012,153336,Bent Associates Limited Partnership,C/O ARE-Ma Region No.50 Llc,,4144007.6,14139355.6,,,,,,,,,,,,,,,,,,,,,,,
2016,267-12,255-100,2015,Yes,Child,"267-10, 267-13, 267-12, 267-56, 267-50, 267-44, 267-32, 267-37, 267-35, 267-30, 267-28, 267-27, 267-24, 267-17, 267-16, 267-14, 267-31, 267-21, 267-43, 267-34, 267-18, 267-19, 267-19, 267-15, 267-10",,18 Cushing Court,"52-4 Lawn St
Cambridge, MA
(42.377689737, -71.152217337)",Residential,Multifamily Housing,1953,200633,Cambridge Housing Authority,,65,683629.9,2332545.6,155696.00071,15569600.1,,,,,,,,,,17902145.6,17854161.9,89.2,89,23672273.1,23596227.8,118,117.6,1052.6,5.2,17212.7,71.21
2017,668-34,52A-21,2015,Yes,Single,,,60 Vassar St,"50 Vassar St
Cambridge, MA
(42.361880789, -71.091209451)",Nonresidential,College/University,1983,26966,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,496549,1694225,,,,,,,,,1026156,2557548,,5277929,,196,,9422859,,349,,369,14,,
2018,699-25,56-8,2015,Yes,Single,,,120 Albany St,"138 Albany St
Cambridge, MA",College/University,College/University,1955,49933,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,2119200.2,7230712,14907.0015,1490700.2,,,,,,,9499511.9,1443546.2,,19664470.3,,393.8,,35505828.3,,711.1,,1230,24.6,9492,190.1
2017,708-18,57-169,2015,Yes,Single,,,76 Massachusetts Ave,"84 Massachusetts Ave
Cambridge, MA
(42.35924739, -71.093787076)",Nonresidential,College/University,1965,183162,Massachusetts Institute Of Technology,,,3654207,12468156,6957,695700,,,,,,,15228060,13673687,,42065602,,230,,71558562,,391,,2813,15,4406,24
2018,253-8,157-69,2015,Yes,Single,,,11-19 Oxford St,"22 Everett St
Cambridge, MA",College/University,College/University,1950,18978,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",79,102308.6,349077.1,3044.926117,304492.6,,,,,,,,681249.4,,1334819,1383684.2,70.3,1383684.2,2235390.2,2293335.2,117.8,2293335.2,88.2,4.6,732,38.57
2018,375-1,35-100,2015,Yes,Single,,,3 Lambert St,"15 Lambert St
Cambridge, MA",Multifamily Housing,Multifamily Housing,1974,182387,Cambridge Housing Authority,C/O Millers River Holding Llc.,23,1444919.7,4930066.5,168370.999,16837099.9,,,,,,,,,,21767166.4,22629801.4,119.3,22629801.4,33159363.6,34065130.4,181.8,34065130.4,1272.3,7,11187.9,61.34
2016,318-24,159-1,2015,Yes,Single,,,1341 Massachusetts Ave,"8 Harvard Yard
Cambridge, MA
(42.374338873, -71.118725242)",Nonresidential,College/University,1915,234046,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,2701494.6,9217500.6,24972.972537,2497297.3,,,,,,,10764398.5,5337201.4,,27816397.9,27368971,118.9,116.9,48750385.3,48281676.7,208.3,206.3,1946.1,8.3,1092.1,4.67
2018,597-6,73-124,2015,Yes,Child,"597-13, 597-12, 597-11, 567-10, 597-9, 597-8, 597-7, 597-6, 597-5, 597-4, 597-3, 597-2, 597-17, 597-16, 597-15, 597-14, 597-1",,108 Harvard St,"120 Harvard St
Cambridge, MA",Multifamily Housing,Multifamily Housing,1942,200075,Cambridge Housing Authority,,44,1111050.9,3790906,144050.0012,14405000.1,,,,,,,,,106946,18560805.9,19411362,92.8,19411362,28174480.3,28286935.1,140.8,28286935.1,1083.8,5.4,12571.8,62.84
2016,411-8,80-165,2015,Yes,Child,"411-9, 392-23, 392-22, 392-21, 392-20, 392-19, 392-8, 411-8, 392-17, 411-7, 392-16, 411-6, 411-5, 398-13, 411-4, 411-3, 411-29, 411-28, 411-27, 411-26, 411-25, 411-24, 411-23, 411-22, 411-21, 411-20, 411-19, 411-18, 411-14, 411-13, 411-11, 411-10, 411-1, 392-9, 392-8, 392-4",,427 Windsor Street,"1 Citizens Pl
Cambridge, MA
(42.371629658, -71.095065046)",Residential,Multifamily Housing,2014,51344,"Harwell Homes, Inc.",C/O Meredith Ma Corp,62,250558.7,854906.4,38365.99781,3836599.8,,,,,,,,,,4691506.2,4611172,91.4,89.8,6712835.9,6598501,130.7,128.5,286.5,5.6,2454.4,
2018,468-2,8-75,2015,Yes,Single,,,2 First St,"2 First St
Cambridge, MA",Office,Office,1999,212790,"Two Canal Park Massachusetts, Llc,","C/O Us Real Estate Investment Fund Llc,",45,6597525.9,22510761.2,,,,,,,,,,,,22510761.2,22510761.2,105.8,22510761.2,70683790.2,70683790.2,332.2,70683790.2,1725.9,8.1,4488,21.09
2018,273-23,256-80,2015,Yes,Single,,,116 Cushing St,"110 Cushing St
Cambridge, MA",K-12 School,K-12 School,1996,53664,Cambridge City Of,School Dept,67,479673,1636644.5,24538.18765,2453818.8,,,,,,,,,,4090463.3,4229998.9,76.2,4229998.9,7715573.6,7842982.6,143.8,7842982.6,255.8,4.8,,
2017,744-10,66-12,2016,Yes,Single,,,13 Chestnut St,"9 Chestnut St
Cambridge, MA
(42.355481343, -71.106748568)",Nonresidential,Office,1960,79500,Massachusetts Institute Of Technology,,,205739,701982,310,31034,,,,,,,,,,733016,733016,9,9,2236809,2236809,28,28,62,1,2,0
2016,360-1,35-89,2016,No,Single,,,163 Gore St,"163 Gore St
Cambridge, MA
(42.372745593, -71.085550696)",Nonresidential,,,,The Javna Family Limited Partnership,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,388-22,35-85,2015,Yes,Child,"388-4, 388-22",,170 Gore St,"599 Cambridge St
Cambridge, MA",Multifamily Housing,Multifamily Housing,1988,147000,Pacheco-Pavillion Limited Partnership,,87,1014965.9,3463064.2,23524.00071,2352400.1,,,,,,,,,,5815464.3,5896227.4,39.6,5896227.4,13344041.6,13428842.9,90.8,13428842.9,390.5,2.7,4161.9,28.31
2017,131-17,153-59,2017,No,,,,2 Newport Rd,"1783 Massachusetts Ave
Cambridge, MA
(42.386075844, -71.119207052)",Residential,,,,"Oleary, Donal & Roby M. Fader",X,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,708-5,57-131,2015,Yes,Single,,,120 Massachusetts Ave,"120 Massachusetts Ave
Cambridge, MA",College/University,College/University,1957,71444,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,1411580.6,4816313.7,1684.99987,168500,,,,,,,,4635109.4,,9619923.1,,134.6,,20876377.2,,292.2,,686,9.6,258.1,3.61
2018,668-39,52A-21,2015,Yes,Single,,,60 Vassar St,"60 Vassar St
Cambridge, MA",College/University,College/University,1968,75808,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,8181788.5,27916265.8,36.0000011,3600,,,,,,,7112134.5,14884404.4,,49916404.7,,658.5,,112679539.2,,1486.4,,3503.7,46.2,787.6,10.39
2018,42-8,267.4-176,2017,Yes,Single,,,165 Cambridgepark Dr,"165 Cambridgepark Dr
Cambridge, MA",Multifamily Housing,Multifamily Housing,2015,243078,"Hines Mip Cambridgepark Drive Llc,",C/O Hines Interests Limited Partnership,82,1824895.9,6226545.4,61913.00259,6191300.3,,,,,,,,,,12417845.7,12680884.4,51.1,12680884.4,26052217.8,26328408.5,107.2,26328408.5,806.2,3.3,7189.8,29.58
2017,69-32,267F-293,2015,Yes,Single,,,625 Concord Ave,"10 Moulton St
Cambridge, MA
(42.389725704, -71.148009248)",Nonresidential,Other,1973,95148,"Cv Portfolio West Cambridge, LLC,",C/O Raytheon Bbn Technologies,,6334099,21611949,91,9113,,,,,,,,,,21621062,21621974,227,227,67871089,67872046,713,713,1847,19,9,0
2017,665-16,92-130,2015,Yes,Single,,,80 Auburn Pk,"115 Pacific St
Cambridge, MA
(42.360693413, -71.102917624)",Residential,Multifamily Housing,1990,6505,Massachusetts Institute Of Technology,C/O MIT Investment Management Comp.,,23078,78742,3964,396413,,,,,,,,,,475155,492662,73,76,663484,678480,102,104,28,4,349,54
2016,106-49,204-147,2015,Yes,Child,"106-26, 106-49, 106-46, 106-32, 106-31, 106-28",,181 Walden St,"12 Lincoln Way
Cambridge, MA
(42.3879347, -71.129259885)",Residential,Multifamily Housing,1950,105728,Cambridge Affordable Presidential,Apartments LLC.,82,506902.9,1729553,45476.00153,4547600.2,,,,,,,,,134165,6734924.1,6707950.6,63.7,63.4,10663547.5,10636109.1,100.9,100.6,453.2,4.3,5098.7,44.17
2017,245-57,257-47,2015,Yes,Child,"245-34, 245-11, 245-16, 245-2, 245-26, 245-27, 245-28, 245-29, 245-3, 245-30, 245-31, 245-32, 245-33, 245-35, 245-36, 245-37, 245-38, 245-39, 245-4, 245-40, 245-41, 245-42, 245-43, 245-44, 245-45, 245-46, 245-47, 245-48, 245-5, 245-50, 245-51, 245-52, 245-53, 245-54, 245-55, 245-56, 245-57, 245-58, 245-59, 245-6, 245-60, 245-61, 245-62, 245-63, 245-64, 245-65, 245-66, 245-8, 245-9",,676-694 Huron Ave,"23 Fresh Pond Pl
Cambridge, MA
(42.380059145, -71.153330293)",Residential,Multifamily Housing,1979,57875,"Gamble, Lincoln Bradley",,100,85390,291352,4244,424398,,,,,,,,,,715750,742792,12,13,1360462,1398931,24,24,47,1,172,3
2016,560-3,130-144,2015,Yes,Child,"438-6, 438-8, 438-1, 438-7, 438-11",,900 Memorial Dr,"900 Memorial Dr
Cambridge, MA
(42.365054749, -71.115951391)",Residential,Multifamily Housing,1964,489826,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",61,2386143.3,8141522.1,4041.2884056,404128.8,,,,,,,,30334487.2,,38880138.2,,79.4,,62482349.4,,127.6,,2823.3,5.8,22951.4,46.86
2016,672-7,48-129,2015,Yes,Single,,,40 Ames St,"400 Main St
Cambridge, MA
(42.362537543, -71.087804088)",Nonresidential,College/University,1964,149742,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,1959663.6,6686373,,,,,,,,,3499091.8,13336979.6,,23522444.3,,157.1,,40539237.4,,270.7,,1716.8,11.5,769.7,
2018,747-3,62-34,2015,Yes,Single,,,560 Memorial Dr,"278 Vassar St
Cambridge, MA",College/University,College/University,1963,13996,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,0,0,0,0,,,,,,,0,0,,0,,0,,0,,0,,0,,0,0
2017,106-6,203B-66,2015,Yes,Parent,"106-6, 106-65, 106-5, 106-66, 106-67, 106-16, 106-68, 106-4, 106-69, 106-70, 106-14, 106-63, 106-7, 106-64",,102 Sherman St,"21 Walden Square Rd
Cambridge, MA
(42.389471772, -71.131986341)",Residential,Multifamily Housing,1974,156003,Wsq Limited Partnership,C/O Winn Residential,78,697990,2381542,147810,14780973,,,,,,,,,,17162515,17753231,110,114,22998063,23618316,147,151,1147,7,13470,86
2018,668-4,52A-21,2015,Yes,Single,,,60 Vassar St,"182-R Memorial Dr
Cambridge, MA",College/University,College/University,1916,162565,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,2671309.7,9114509.9,18303.00165,1830300.2,,,,,,,1619891.9,26066212.2,,38630914.2,,237.6,,63519992.6,,390.7,,2612.2,16.1,1665.8,10.25
2016,266-12,157-69,2015,Yes,Single,,,1525-1587 Massachusetts Ave,"15 Oxford St
Cambridge, MA
(42.377620844, -71.11625227)",Nonresidential,College/University,2007,173885,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,6250106.3,21325365.3,,,,,,,,,22214672.7,26483547.2,,70023585.2,68831218,402.7,395.8,121037115.4,119734777.9,696.1,688.6,4992.3,28.7,8159,46.92
2016,665-17,92-126,2015,Yes,Single,,,91 Sidney St,"91 Sidney St
Cambridge, MA
(42.36065826, -71.10217387)",Residential,Multifamily Housing,1999,159108,Massachusetts Institute Of Technology,Office Of The Treasurer,6,2075190,7080549,67314.74846,6731474.8,,,,,,,,,,13812023.8,13422996,86.8,84.4,29300972.4,28311230,184.2,177.9,1042.5,6.6,5651.8,35.52
2016,318-31,159-1,2015,Yes,Single,,,1341 Massachusetts Ave,"13 Harvard Yard
Cambridge, MA
(42.374569292, -71.118653282)",Nonresidential,College/University,1973,133092,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,1520582.3,5188227.4,,,,,,,,,3688765.5,,,8876992.9,8830446.4,66.7,66.3,19979799.5,19893881.2,150.1,149.5,696.3,5.2,930.5,0.53
2018,358-1,7-115,2016,Yes,Single,,,219-221 Monsignor Obrien Hwy,"215 Monsignor Obrien Hwy
Cambridge, MA",Hotel,Hotel,2015,57035,"Monsignor Hotel, Llc",,87,638538.8,2178694.7,12107.31799,1210731.8,,,,,,,,,,3389426.5,3395495.2,59.4,3395495.2,8112369.7,8084106.8,142.2,8084106.8,231.4,4.1,2341.1,41.05
2018,9-7,267.2-230,2015,No,Single,,,60 Acorn Park Dr,"60 Acorn Park Dr
Cambridge, MA",,,,,"Bhx, Llc.","C/O  200 Cdp Drive, Llc",,,,,,,,,,,,,,,,,,,,,,,,,,
2016,318-14,159-1,2015,Yes,Single,,,1341 Massachusetts Ave,"29 Harvard Yard
Cambridge, MA
(42.37459901, -71.118648329)",Nonresidential,College/University,1766,22986,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,120629,411586.3,,,,,,,,,324588,1053733.5,,1789907.8,1764873.5,77.9,76.8,2884653.6,2858304.2,125.5,124.3,126.9,5.5,109,4.74
2017,73-2,197-4,2015,Yes,Child,"73-1, 73-2, 73-3",,70 Rindge Ave,"70 Rindge Ave
Cambridge, MA
(42.392910914, -71.128927109)",Municipal,K-12 School,1999,128392,Cambridge City Of,School Dept,83,968827,3305637,43371,4337057,,,,,,,,,,7642694,7958284,60,62,14933611,15217585,116,119,513,4,,
2018,387-18,242-38,2015,No,Child,"387-14, 387-22, 387-12, 387-23, 387-21, 387-18, 387-3, 387-6, 387-5, 387-24, 387-10, 387-8, 387-17, 387-25, 387-20, 387-39, 387-32, 387-28",,178 Coolidge Hill,"178 Coolidge Hill
Cambridge, MA",,,,,Shady Hill School,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,288-13,217-18,2015,Yes,Parent,"288-13, 280-4, 280-7, 288-2, 288-3, 288-8, 288-9, 288-10, 288-11, 288-12, 288-13, 288-14, 288-15",,99 Brattle St,"99 1 Brattle St
Cambridge, MA",College/University,College/University,1924,210512,Episcopal Divinity School,,,799738.8,2728709.1,44103.12946,4410312.9,,,,,,,,,,7139022.1,7376133.4,33.9,7376133.4,13198975.3,13447942.2,62.7,13447942.2,443.5,2.1,2330.9,11.07
2016,106-26,204-147,2015,Yes,Parent,"106-26, 106-49, 106-46, 106-32, 106-31, 106-28",,181 Walden St,"12 Lincoln Way
Cambridge, MA
(42.3879347, -71.129259885)",Residential,Multifamily Housing,1950,105728,Cambridge Affordable Presidential,Apartments LLC.,82,506902.9,1729553,45476.00153,4547600.2,,,,,,,,,134165,6734924.1,6707950.6,63.7,63.4,10663547.5,10636109.1,100.9,100.6,453.2,4.3,5098.7,44.17
2018,593-2,42-33,2016,No,Single,,,200 Broadway,"200 Broadway
Cambridge, MA",,,,,"200 Broadway, Llc,",Attn: Christopher Cassel,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,568-1,42-86,2016,Yes,Single,,,205 Broadway,"207 Broadway
Cambridge, MA
(42.366175603, -71.092880474)",Nonresidential,Laboratory,1999,39014,"BMR-Hampshire LLC,",,,368640,1257800,15804,1580400,,,,,,,,,,2838200,2899046,73,74,5608911,5636365,144,145,191,5,275,7
2018,411-6,80-165,2015,Yes,Child,"392-13, 411-9, 392-23, 392-22, 392-21, 392-20, 392-19, 392-8, 411-8, 392-17, 411-7, 392-16, 411-6, 411-5, 398-13, 411-4, 411-3, 411-29, 411-28, 411-27, 411-26, 411-25, 411-24, 411-23, 411-22, 411-21, 411-20, 411-19, 411-18, 411-14, 411-13, 411-11, 411-10, 411-1, 392-9, 392-8, 392-4",,427 Windsor St,"9 Wellington Ln
Cambridge, MA",Multifamily Housing,Multifamily Housing,2014,51344,"Harwell Homes, Inc.",C/O Peabody Properties Inc.,65,261771.6,893164.7,34450.86678,3445086.7,,,,,,,,,,4338251.4,4485819.7,84.5,4485819.7,6421878.1,6594912,125.1,6594912,251.5,4.9,2248.6,43.8
2016,245-16,257-47,2015,Yes,Child,"245-11, 245-16, 245-2, 245-26, 245-27, 245-28, 245-29, 245-3, 245-30, 245-31, 245-32, 245-33, 245-34, 245-35, 245-36, 245-37, 245-38, 245-39, 245-4, 245-40, 245-41, 245-42, 245-43, 245-44, 245-45, 245-46, 245-47, 245-48, 245-5, 245-50, 245-51, 245-52, 245-53, 245-54, 245-55, 245-56, 245-57, 245-58, 245-59, 245-6, 245-60, 245-61, 245-62, 245-63, 245-64, 245-65, 245-66, 245-8, 245-9",,676-694 Huron Ave,"12 Fresh Pond Pl
Cambridge, MA
(42.380281696, -71.153537318)",Residential,Multifamily Housing,1979,57875,"Gamble, Lincoln Bradley",Trustees of Condominium Assn.,100,87532,298659.4,4420.745982,442074.6,,,,,,,,,,740734,739664.1,12.8,12.8,1401968.7,1400392.5,24.2,24.2,52.4,0.9,87.5,
2016,747-8,62-36,2015,Yes,Single,,,Audrey St.,"550 Memorial Dr
Cambridge, MA
(42.354164716, -71.102380881)",Nonresidential,College/University,1973,152315,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,1009228.8,3443489.2,1778.000045,177800,,,,,,,,10034375.6,,13655664.8,,89.7,,23071012.3,,151.5,,1008.9,6.6,7340.6,
2016,106-63,203B-66,2015,Yes,Child,"106-6, 106-65, 106-5, 106-66, 106-67, 106-16, 106-68, 106-4, 106-69, 106-70, 106-14, 106-63, 106-7, 106-64",,102 Sherman Street,"17 Walden Square Rd
Cambridge, MA
(42.389514695, -71.129985516)",Residential,Multifamily Housing,1974,156003,WSQ Limited Partnership,"C/O Winn Residential, Attn: Li Sosna",63,689338.9,2352024.7,180331.1118,18033111.2,,,,,,,,,,20385135.8,19805880,130.7,127,26320124.2,25711905.5,168.7,164.8,1345,8.6,12937.6,
2017,387-3,242-38,2015,No,Child,"387-14, 387-22, 387-12, 387-23, 387-21, 387-18, 387-3, 387-6, 387-5, 387-24, 387-10, 387-8, 387-17, 387-25, 387-20, 387-39, 387-32, 387-28",,178 Coolidge Hill,"178 Coolidge Hill
Cambridge, MA
(42.372197022, -71.137620611)",Nonresidential,,,,Shady Hill School,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,490-37,117-64,2015,Yes,Single,,,881 Massachusetts Ave,"881 Massachusetts Ave
Cambridge, MA",Multifamily Housing,Multifamily Housing,1915,59746,"Moskow, Abraham & Michael B. Moskow,",Trustees Of Newtowne Trust,100,116787,398477.3,,,,,,,,,,,,398477.3,398464.5,6.7,398464.5,1251218.6,1251178.6,20.9,1251178.6,30.6,0.5,,
2016,206-14,213-2A,2015,Yes,Child,"206-12, 206-14, 206-18, 206-8, 206-17, 206-6",,52-70 Linnaean St,"53 Shepard St
Cambridge, MA
(42.380470223, -71.124386349)",Residential,Residence Hall/Dormitory,1901,172773,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,675247.9,2303946.1,136150.986,13615098.6,,4140,,,,,,,,15923184.7,,92.2,,21534425.6,,124.6,,946.4,5.5,2816.4,
2018,266-12,157-69,2015,Yes,Single,,,11-19 Oxford St,"11 Oxford St
Cambridge, MA",College/University,College/University,2007,173885,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,6992449.6,23858241.1,,,,,,,,,23829185.3,29617412,,77304838.4,77425114.2,444.6,77425114.2,134375026.1,134541022.3,772.8,134541022.3,5051.6,29.1,8718,50.14
